#,Sample,Date,P_sample_hPa_[hPa],P_leakage_S_[hPa],P_atm_[hPa],mean_V_pump_[ml],V_sample_[ml],P_std_jar_[hPa],P_diff_zero_[hPa],V_std_jar_[ml],V_pump_[ml],Soil dry weight_[g],H2O added_[ml],WHC factor_[H2O mass proportion of dry soil mass],Target WHC_[%],Start Date Pre-Incubation,Start Date Incubation
41,HEG10-2-1,43437,310,313,978,2251.401869,1044.812245,321,,1100,2251.401869,19.966,12.24151613,0.613118107,60,43437.75,43441.59028
42,HEG10-2-2,43437,310,313,978,2251.401869,1044.812245,321,,1100,2251.401869,20.004,12.26481462,0.613118107,60,43437.75,43441.59028
43,HEG32-2-1,43437,311,313,978,2251.401869,1049.754095,321,,1100,2251.401869,20.035,10.84672024,0.541388582,60,43437.75,43441.59028
44,HEG32-2-2,43437,310,313,978,2251.401869,1044.812245,321,,1100,2251.401869,20.059,10.85971357,0.541388582,60,43437.75,43441.59028
45,HEG48-2-1,43437,308,311,978,2251.401869,1034.9728,321,,1100,2251.401869,20.018,11.1934848,0.559170986,60,43437.75,43441.59028
46,HEG48-2-2,43437,310,312,978,2251.401869,1044.812245,321,,1100,2251.401869,19.992,11.17894635,0.559170986,60,43437.75,43441.59028
47,HEW22-2-1,43437,310,313,978,2251.401869,1044.812245,321,,1100,2251.401869,20.008,7.459120483,0.372806901,60,43437.75,43441.59028
48,HEW22-2-2,43437,311,313,978,2251.401869,1049.754095,321,,1100,2251.401869,20.004,7.457629255,0.372806901,60,43437.75,43441.59028
49,HEW41-2-1,43437,311,314,978,2251.401869,1049.754095,321,,1100,2251.401869,20.019,8.477476124,0.423471508,60,43437.75,43441.59028
50,HEW41-2-2,43437,309,311,978,2251.401869,1039.885168,321,,1100,2251.401869,20.034,8.483828197,0.423471508,60,43437.75,43441.59028
51,HEW42-2-1,43437,311,313,978,2251.401869,1049.754095,321,,1100,2251.401869,20.002,7.160572456,0.357992824,60,43437.75,43441.59028
52,HEW42-2-2,43437,311,313,978,2251.401869,1049.754095,321,,1100,2251.401869,19.986,7.154844571,0.357992824,60,43437.75,43441.59028
53,SEG38-2-1,43437,312,314,978,2251.401869,1054.710786,321,,1100,2251.401869,20.008,5.457901878,0.27278598,60,43437.75,43441.59028
54,SEG38-2-2,43437,311,313,978,2251.401869,1049.754095,321,,1100,2251.401869,20.021,5.461448096,0.27278598,60,43437.75,43441.59028
55,SEG40-2-1,43437,312,315,978,2251.401869,1054.710786,321,,1100,2251.401869,20.047,5.454194209,0.272070345,60,43437.75,43441.59028
56,SEG40-2-2,43437,311,313,978,2251.401869,1049.754095,321,,1100,2251.401869,20.011,5.444399677,0.272070345,60,43437.75,43441.59028
57,SEG46-2-1,43437,311,313,978,2251.401869,1049.754095,321,,1100,2251.401869,20.012,6.888238019,0.344205378,60,43437.75,43441.59028
58,SEG46-2-2,43437,311,314,978,2251.401869,1049.754095,321,,1100,2251.401869,20,6.884107555,0.344205378,60,43437.75,43441.59028
59,SEW11-2-1,43437,311,314,978,2251.401869,1049.754095,321,,1100,2251.401869,20.003,5.147262039,0.257324503,60,43437.75,43441.59028
60,SEW11-2-2,43437,311,313,978,2251.401869,1049.754095,321,,1100,2251.401869,20.02,5.151636556,0.257324503,60,43437.75,43441.59028
61,SEW34-2-1,43437,312,314,978,2251.401869,1054.710786,321,,1100,2251.401869,20.021,4.885473853,0.244017474,60,43437.75,43441.59028
62,SEW34-2-2,43437,313,316,978,2251.401869,1059.682384,321,,1100,2251.401869,20.034,4.88864608,0.244017474,60,43437.75,43441.59028
63,SEW43-2-1,43437,313,316,978,2251.401869,1059.682384,321,,1100,2251.401869,20.008,6.026747912,0.301216909,60,43437.75,43441.59028
64,SEW43-2-2,43437,312,314,978,2251.401869,1054.710786,321,,1100,2251.401869,20.024,6.031567382,0.301216909,60,43437.75,43441.59028
