Treatment,ID,dw_g,whcFresh,h2o_added_60pctWHC_frcDW
control,HEW22,20.16707617,0.264772035,0.24
control,HEW41,20.41499331,0.29327977,0.23
control,HEW42,20.11156602,0.279138589,0.15
control,HEG10,20.01412429,0.348735607,0.22
control,HEG32,19.93939394,0.279138589,0.23
control,HEG48,20.13121547,0.314545713,0.22
air-dry,HEW22,20.0019998,0,0.37
air-dry,HEW41,20.00192141,0,0.41
air-dry,HEW42,20.00199601,0,0.38
air-dry,HEG10,20.00385208,0,0.45
air-dry,HEG32,20.00190422,0,0.40
air-dry,HEG48,20.00182315,0,0.39
