SampleName,YearSampled,d14C_t1,FM_t2
NWN1 OiOe,1999,123,1.163309924
NWN-2 OiOe,1999,117,1.166059411
How OiOe #6,1999,153,1.232297323
How OeOa #17,1999,72,1.254421435
NWN-1 Ap (bag),1999,120.5,1.075549559
NWN-1 Ap #27,1999,120.5,1.114626744
NWN-2 Ap #34,1999,125,1.158097205
NWN-1 Ap #44,1999,116,1.10510436
TVA 4E,2004,342.6,1.284401075
TVA 6E,2004,329.7,1.300543322
TVA 8E,2004,338.3,1.306721653
TVA2B-C_iT2,2004,310.3481766,1.255256051
TVA3-C_iT1,2004,318.3654644,1.285082149
WB4B-C_iT2,2004,153.7793033,1.159204189
WB5-C_iT2,2004,185.9802228,1.191812526
WB8-C_iT2,2004,152.9140793,1.134754399
NWN-1 Bw1 (Bag),1999,76,1.159344418
NWN Bw1 #37,1999,76,0.998799521
How tower Bh/s #5,1999,117,1.086474389
