SampleName,ID,Site,Horizon,Treatment,Period,YearSampled,d14c,fm
NWN1 OiOe,NWN1 OiOe,Harvard,O,control,inc,1999,123,
NWN-2 OiOe,NWN-2 OiOe,Harvard,O,control,inc,1999,117,
How OiOe #6,How OiOe #6,Howland,O,control,inc,1999,153,
How OeOa #17,How OeOa #17,Howland,O,control,inc,1999,72,
NWN-1 Ap (bag),NWN-1 Ap (bag),Harvard,A,control,inc,1999,120.5,
NWN-1 Ap #27,NWN-1 Ap #27,Harvard,A,control,inc,1999,120.5,
NWN-2 Ap #34,NWN-2 Ap #34,Harvard,A,control,inc,1999,125,
NWN-1 Ap #44,NWN-1 Ap #44,Harvard,A,control,inc,1999,116,
TVA 4E,TVA 4E,Tennessee Valley,A,control,inc,2004,342.6,
TVA 6E,TVA 6E,Tennessee Valley,A,control,inc,2004,329.7,
TVA 8E,TVA 8E,Tennessee Valley,A,control,inc,2004,338.3,
TVA2B-C_iT2,TVA2B-C_iT2,Tennessee Valley,A,control,inc,2004,310.3481766,
TVA3-C_iT1,TVA3-C_iT1,Tennessee Valley,A,control,inc,2004,318.3654644,
WB4B-C_iT2,WB4B-C_iT2,Walker Branch,A,control,inc,2004,153.7793033,
WB5-C_iT2,WB5-C_iT2,Walker Branch,A,control,inc,2004,185.9802228,
WB8-C_iT2,WB8-C_iT2,Walker Branch,A,control,inc,2004,152.9140793,
NWN-1 Bw1 (Bag),NWN-1 Bw1 (Bag),Harvard,B,control,inc,1999,76,
NWN Bw1 #37,NWN Bw1 #37,Harvard,B,control,inc,1999,76,
How tower Bh/s #5,How tower Bh/s #5,Howland,B,control,inc,1999,117,
NWN1 OiOe,NWN1 OiOe,Harvard,O,storage duration,inc,1999,,1.163309924
NWN-2 OiOe,NWN-2 OiOe,Harvard,O,storage duration,inc,1999,,1.166059411
How OiOe #6,How OiOe #6,Howland,O,storage duration,inc,1999,,1.232297323
How OeOa #17,How OeOa #17,Howland,O,storage duration,inc,1999,,1.254421435
NWN-1 Ap (bag),NWN-1 Ap (bag),Harvard,A,storage duration,inc,1999,,1.075549559
NWN-1 Ap #27,NWN-1 Ap #27,Harvard,A,storage duration,inc,1999,,1.114626744
NWN-2 Ap #34,NWN-2 Ap #34,Harvard,A,storage duration,inc,1999,,1.158097205
NWN-1 Ap #44,NWN-1 Ap #44,Harvard,A,storage duration,inc,1999,,1.10510436
TVA 4E,TVA 4E,Tennessee Valley,A,storage duration,inc,2004,,1.284401075
TVA 6E,TVA 6E,Tennessee Valley,A,storage duration,inc,2004,,1.300543322
TVA 8E,TVA 8E,Tennessee Valley,A,storage duration,inc,2004,,1.306721653
TVA2B-C_iT2,TVA2B-C_iT2,Tennessee Valley,A,storage duration,inc,2004,,1.255256051
TVA3-C_iT1,TVA3-C_iT1,Tennessee Valley,A,storage duration,inc,2004,,1.285082149
WB4B-C_iT2,WB4B-C_iT2,Walker Branch,A,storage duration,inc,2004,,1.159204189
WB5-C_iT2,WB5-C_iT2,Walker Branch,A,storage duration,inc,2004,,1.191812526
WB8-C_iT2,WB8-C_iT2,Walker Branch,A,storage duration,inc,2004,,1.134754399
NWN-1 Bw1 (Bag),NWN-1 Bw1 (Bag),Harvard,B,storage duration,inc,1999,,1.159344418
NWN Bw1 #37,NWN Bw1 #37,Harvard,B,storage duration,inc,1999,,0.998799521
How tower Bh/s #5,How tower Bh/s #5,Howland,B,storage duration,inc,1999,,1.086474389
