arc.inc_ID,OG.SN,Jar_ID,Lab_ID,dw_g,fw_g,H2O_WHC_pct,H2O_grav_pct
MA,Musick A (MA),13,2-C2-FMW-MA1,50,54.5,14.5,0.09
MA,Musick A (MA),14,2-C2-FMW-MA2,50,54.5,14.5,0.09
MA,Musick A (MA),15,2-C2-FMW-MA3,50,54.5,14.5,0.09
MB,Musick B (MB),16,2-C2-FMW-MB1,65,71.3,25.1,0.10
MB,Musick B (MB),17,2-C2-FMW-MB2,65,71.3,25.1,0.10
MB,Musick B (MB),18,2-C2-FMW-MB3,65,71.3,25.1,0.10
SA,Shaver A (SA),19,2-C2-FMW-SA1,50,54.3,14.6,0.09
SA,Shaver A (SA),20,2-C2-FMW-SA2,50,54.3,14.6,0.09
SA,Shaver A (SA),21,2-C2-FMW-SA3,50,54.3,14.6,0.09
SB,Shaver B (SB),22,2-C2-FMW-SB1,65,69.9,18,0.08
SB,Shaver B (SB),23,2-C2-FMW-SB2,65,69.9,18,0.08
SB,Shaver B (SB),24,2-C2-FMW-SB3,65,69.9,18,0.08
