SampleName,ID,timepoint_cmtv,formula_check,start_date,start_date_yyyy,start_date_mm,start_date_dd.d,measurement_date,measurement_date_yyyy,measurement_month_mm,measurement_date_dd.d,Period,time_d,mgCO2_jar,time_d_cmtv
MA-1,MA,1,,43308.70139,2018,7,27.70138889,7/30/18 16:34,2018,7,30.69027778,inc,2.99,14.75912082,2.99
MA-2,MA,1,,43308.70139,2018,7,27.70138889,7/30/18 16:37,2018,7,30.69236111,inc,2.99,14.55944243,2.99
MA-3,MA,1,,43308.70139,2018,7,27.70138889,7/30/18 16:38,2018,7,30.69305556,inc,2.99,15.30248727,2.99
MB-1,MB,1,,43308.70139,2018,7,27.70138889,7/30/18 16:40,2018,7,30.69444444,inc,2.99,1.491646832,2.99
MB-2,MB,1,,43308.70139,2018,7,27.70138889,7/30/18 16:42,2018,7,30.69583333,inc,2.99,1.452358202,2.99
MB-3,MB,1,,43308.70139,2018,7,27.70138889,7/30/18 16:42,2018,7,30.69583333,inc,2.99,1.398047774,2.99
SA-1,SA,1,,43308.72361,2018,7,27.72361111,7/30/18 16:45,2018,7,30.69791667,inc,2.97,26.60948926,2.97
SA-2,SA,1,,43308.72361,2018,7,27.72361111,7/30/18 16:47,2018,7,30.69930556,inc,2.98,25.42986802,2.98
SA-3,SA,1,,43308.72361,2018,7,27.72361111,7/30/18 16:48,2018,7,30.7,inc,2.98,26.56852324,2.98
SB-1,SB,1,,43308.72361,2018,7,27.72361111,7/30/18 16:50,2018,7,30.70138889,inc,2.98,3.350278294,2.98
SB-2,SB,1,,43308.72361,2018,7,27.72361111,7/30/18 16:51,2018,7,30.70208333,inc,2.98,3.050754383,2.98
SB-3,SB,1,,43308.72917,2018,7,27.72916667,7/30/18 16:52,2018,7,30.70277778,inc,2.97,3.063838853,2.97
Du123-1,Du123,1,,43308.72917,2018,7,27.72916667,7/30/18 16:54,2018,7,30.70416667,inc,2.98,26.85719629,2.98
Du120-1,Du120,1,,43308.72917,2018,7,27.72916667,7/30/18 16:56,2018,7,30.70555556,inc,2.98,1.764211121,2.98
TVA 4E C-1,TVA 4E C,1,,43308.72917,2018,7,27.72916667,7/30/18 17:01,2018,7,30.70902778,inc,2.98,3.97831547,2.98
TVA 6E C-1,TVA 6E C,1,,43308.73542,2018,7,27.73541667,7/30/18 17:05,2018,7,30.71180556,inc,2.98,10.5366086,2.98
TVA 8E C-1,TVA 8E C,1,,43308.73542,2018,7,27.73541667,7/30/18 17:09,2018,7,30.71458333,inc,2.98,2.699716179,2.98
