SampleName,ID,timepoint_cmtv,formula_check,start_date,start_date_yyyy,start_date_mm,start_date_dd.d,measurement_date,measurement_date_yyyy,measurement_month_mm,measurement_date_dd.d,Period,time_d,mgCO2_jar,time_d_cmtv
HEW22-1,HEW22,1,,43703.41667,2019,8,26.41666667,8/27/19 11:50,2019,8,27.49305556,pre,1.08,4.288152033,1.08
HEW22-2,HEW22,1,,43703.41667,2019,8,26.41666667,8/27/19 11:50,2019,8,27.49305556,pre,1.08,4.307584529,1.08
HEW41-1,HEW41,1,,43703.41667,2019,8,26.41666667,8/27/19 11:50,2019,8,27.49305556,pre,1.08,2.680557679,1.08
HEW41-2,HEW41,1,,43703.41667,2019,8,26.41666667,8/27/19 11:50,2019,8,27.49305556,pre,1.08,2.733237369,1.08
HEW42-1,HEW42,1,,43703.41667,2019,8,26.41666667,8/27/19 11:50,2019,8,27.49305556,pre,1.08,1.483697489,1.08
HEW42-2,HEW42,1,,43703.41667,2019,8,26.41666667,8/27/19 11:50,2019,8,27.49305556,pre,1.08,1.37900866,1.08
HEG10-1,HEG10,1,,43703.41667,2019,8,26.41666667,8/27/19 11:50,2019,8,27.49305556,pre,1.08,5.312145732,1.08
HEG10-2,HEG10,1,,43703.41667,2019,8,26.41666667,8/27/19 11:50,2019,8,27.49305556,pre,1.08,5.163085617,1.08
HEG32-1,HEG32,1,,43703.41667,2019,8,26.41666667,8/27/19 11:50,2019,8,27.49305556,pre,1.08,4.725631526,1.08
HEG32-2,HEG32,1,,43703.41667,2019,8,26.41666667,8/27/19 11:50,2019,8,27.49305556,pre,1.08,4.954473964,1.08
HEG48-1,HEG48,1,,43703.41667,2019,8,26.41666667,8/27/19 11:50,2019,8,27.49305556,pre,1.08,5.494732198,1.08
HEG48-2,HEG48,1,,43703.41667,2019,8,26.41666667,8/27/19 11:50,2019,8,27.49305556,pre,1.08,5.386582071,1.08
HEW22-1,HEW22,2,,43703.41667,2019,8,26.41666667,8/28/19 11:40,2019,8,28.48611111,pre,2.07,7.064332133,2.07
HEW22-2,HEW22,2,,43703.41667,2019,8,26.41666667,8/28/19 11:40,2019,8,28.48611111,pre,2.07,6.937547798,2.07
HEW41-1,HEW41,2,,43703.41667,2019,8,26.41666667,8/28/19 11:40,2019,8,28.48611111,pre,2.07,4.602718947,2.07
HEW41-2,HEW41,2,,43703.41667,2019,8,26.41666667,8/28/19 11:40,2019,8,28.48611111,pre,2.07,4.368006906,2.07
HEW42-1,HEW42,2,,43703.41667,2019,8,26.41666667,8/28/19 11:40,2019,8,28.48611111,pre,2.07,2.403225006,2.07
HEW42-2,HEW42,2,,43703.41667,2019,8,26.41666667,8/28/19 11:40,2019,8,28.48611111,pre,2.07,2.316026741,2.07
HEG10-1,HEG10,2,,43703.41667,2019,8,26.41666667,8/28/19 11:40,2019,8,28.48611111,pre,2.07,9.009228838,2.07
HEG10-2,HEG10,2,,43703.41667,2019,8,26.41666667,8/28/19 11:40,2019,8,28.48611111,pre,2.07,9.460640593,2.07
HEG32-1,HEG32,2,,43703.41667,2019,8,26.41666667,8/28/19 11:40,2019,8,28.48611111,pre,2.07,8.623071971,2.07
HEG32-2,HEG32,2,,43703.41667,2019,8,26.41666667,8/28/19 11:40,2019,8,28.48611111,pre,2.07,9.072283275,2.07
HEG48-1,HEG48,2,,43703.41667,2019,8,26.41666667,8/28/19 11:40,2019,8,28.48611111,pre,2.07,9.620518572,2.07
HEG48-2,HEG48,2,,43703.41667,2019,8,26.41666667,8/28/19 11:40,2019,8,28.48611111,pre,2.07,9.302572985,2.07
HEW22-1,HEW22,3,,43703.41667,2019,8,26.41666667,8/29/19 10:00,2019,8,29.41666667,pre,3.00,10.38638944,3.00
HEW22-2,HEW22,3,,43703.41667,2019,8,26.41666667,8/29/19 10:00,2019,8,29.41666667,pre,3.00,10.51238779,3.00
HEW41-1,HEW41,3,,43703.41667,2019,8,26.41666667,8/29/19 10:00,2019,8,29.41666667,pre,3.00,6.569592307,3.00
HEW41-2,HEW41,3,,43703.41667,2019,8,26.41666667,8/29/19 10:00,2019,8,29.41666667,pre,3.00,6.267966605,3.00
