Analysis No.,Ampl. 44,Ampl. 45,Ampl. 46,ID 1,ID 2,preparation,ID,sample assignment,final time date,error  *,offset corr sample,avg_13c,ppm,dilution ,diff.abs.,,,,,
Attention! Please note that values with Amplitude low can have a higher error bar.,,,,,,,,,,,d13C,,,,,,,,,
142016,3534,4218,5002,1,50,HEG10-2-1_14122018,HEG10-2-1,Sample,16/1/19 11:38,,-27.10,-27.09,17989,4.36,,,,,,
142017,3542,4228,5012,1,50,HEG10-2-1_14122018,HEG10-2-1,Sample,16/1/19 11:43,,-27.08,,18045,4.36,0.03,,,,,
142018,3685,4393,5218,2,50,HEG10-2-2_14122018,HEG10-2-2,Sample,16/1/19 11:48,,-27.28,-27.27,18801,4.36,,,,,,
142019,3681,4391,5212,2,50,HEG10-2-2_14122018,HEG10-2-2,Sample,16/1/19 11:54,,-27.25,,18778,4.36,0.03,,,,,
142021,3021,3607,4276,3,50,HEG32-2-1_14122018,HEG32-2-1,Sample,16/1/19 12:04,,-27.31,-27.26,15431,4.36,,,,,,
142022,3023,3604,4279,3,50,HEG32-2-1_14122018,HEG32-2-1,Sample,16/1/19 12:10,,-27.22,,15419,4.36,0.09,,,,,
142023,3161,3773,4474,4,50,HEG32-2-2_14122018,HEG32-2-2,Sample,16/1/19 12:15,,-27.07,-27.05,16139,4.36,,,,,,
142024,3162,3770,4477,4,50,HEG32-2-2_14122018,HEG32-2-2,Sample,16/1/19 12:20,,-27.03,,16136,4.36,0.04,,,,,
142027,3141,3751,4447,5,50,HEG48-2-1_12122018,HEG48-2-1,Sample,16/1/19 12:41,,-26.56,-26.59,16050,4.36,,,,,,
142028,3139,3748,4443,5,50,HEG48-2-1_12122018,HEG48-2-1,Sample,16/1/19 12:46,,-26.61,,16064,4.36,0.05,,,,,
142029,2963,3536,4194,6,50,HEG48-2-2_12122018,HEG48-2-2,Sample,16/1/19 12:52,,-26.67,-26.68,15182,4.36,,,,,,
142030,2954,3527,4182,6,50,HEG48-2-2_12122018,HEG48-2-2,Sample,16/1/19 12:57,,-26.68,,15132,4.36,0.01,,,,,
142032,2531,3025,3582,7,100,HEW22-2-1_14122018,HEW22-2-1,Sample,16/1/19 13:07,,-24.75,-24.74,7050,2.06,,,,,,
