Analysis No.,Ampl. 44,Ampl. 45,Ampl. 46,ID 1,ID 2,preparation,sample assignment,final time date,error  *,offset corr sample,ppm,dilution ,diff.abs.,ppm Manuel,Nr. Manuel,Kostenstelle Manuel,,
Attention! Please note that values with Amplitude low can have a higher error bar.,,,,,,,,,,d13C,,,,,,,,
142086,2429,2910,3442,1,100,SEW11-2-1_17122018,Sample,22/1/19 15:01,,-24.44,6675,2.06,,6361,1,PS EBIO COOG,,
142087,2416,2892,3422,1,100,SEW11-2-1_17122018,Sample,22/1/19 15:06,,-24.41,6751,2.06,0.03,6361,1,PS EBIO COOG,,
142088,2536,3035,3592,2,100,SEW11-2-2_17122018,Sample,22/1/19 15:11,,-24.66,7546,2.06,,6702,2,PS EBIO COOG,,
142089,2506,2998,3547,2,100,SEW11-2-2_17122018,Sample,22/1/19 15:17,,-24.71,7587,2.06,0.05,6702,2,PS EBIO COOG,,
142091,1920,2302,2718,3,100,SEW34-2-1_21012019,Sample,22/1/19 15:27,,-21.83,4943,2.06,,5177,3,PS EBIO COOG,,
142092,1888,2263,2671,3,100,SEW34-2-1_21012019,Sample,22/1/19 15:33,,-21.93,4963,2.06,0.10,5177,3,PS EBIO COOG,,
142093,2638,3154,3731,4,100,SEW34-2-2_21012019,Sample,22/1/19 15:38,,-23.81,8999,2.06,,7656,4,PS EBIO COOG,,
142094,2576,3082,3644,4,100,SEW34-2-2_21012019,Sample,22/1/19 15:43,,-23.76,8837,2.06,0.05,7656,4,PS EBIO COOG,,
142097,1955,2335,2761,5,100,SEW43-2-1_17122018,Sample,22/1/19 16:00,,-24.52,6284,2.06,,6322,5,PS EBIO COOG,,
142098,1902,2271,2683,5,100,SEW43-2-1_17122018,Sample,22/1/19 16:05,,-24.50,6171,2.06,0.01,6322,5,PS EBIO COOG,,
142099,1494,1784,2108,6,100,SEW43-2-2_17122018,Sample,22/1/19 16:11,,-23.64,4252,2.06,,5256,6,PS EBIO COOG,,
142100,1451,1733,2047,6,100,SEW43-2-2_17122018,Sample,22/1/19 16:16,,-23.53,4209,2.06,0.11,5256,6,PS EBIO COOG,,
142102,29,35,41,7,200,Blank_synt.Luft,Sample,22/1/19 16:27,Amplitude low,-21.22,-1305,1,,0,7,PS EBIO COOG,,
142103,28,34,40,7,200,Blank_synt.Luft,Sample,22/1/19 16:32,Amplitude low,-21.76,-1218,1,0.54,0,7,PS EBIO COOG,,
142104,1069,1273,1506,8,100,GIL1.3,Sample,22/1/19 16:37,,-25.00,2990,2.06,,4394,8,PS EBIO COOG,,
142105,1031,1227,1452,8,100,GIL1.3,Sample,22/1/19 16:42,,-25.14,2975,2.06,0.14,4394,8,PS EBIO COOG,,
142108,1095,1299,1541,9,100,GIL2.1,Sample,22/1/19 16:59,,-25.69,3869,2.06,,5698,9,PS EBIO COOG,,
