Analysis No.,Ampl. 44,Ampl. 45,Ampl. 46,ID 1,ID 2,preparation,sample assignment,final time date,error  *,offset corr sample,ppm,dilution ,diff.abs.,,,
Attention! Please note that values with Amplitude low can have a higher error bar.,,,,,,,,,,d13C,,,,,,
143196,945,1111,1303,STD_3015,200,3015,Sample,13/2/19 13:40,,-38.45,2905,1,,,,
143197,928,1090,1280,STD_3015,200,3015,Sample,13/2/19 13:45,,-38.29,2836,1,0.16,,,
143198,1544,1841,2190,SEW11-2-1_17122018,150,"6360,945515",Sample,13/2/19 13:51,,-24.39,5883,1.35,,,,
143199,1509,1800,2141,SEW11-2-1_17122018,150,"6360,945515",Sample,13/2/19 13:56,,-24.32,5751,1.35,0.07,,,
143201,1593,1899,2260,SEW11-2-2_17122018,150,"6701,719736",Sample,13/2/19 14:06,,-24.52,6149,1.35,,,,
143202,1564,1865,2217,SEW11-2-2_17122018,150,"6701,719736",Sample,13/2/19 14:12,,-24.55,6032,1.35,0.04,,,
143203,1188,1421,1686,SEW34-2-1_21012019,150,"5177,238954",Sample,13/2/19 14:17,,-21.86,4468,1.35,,,,
143204,1166,1393,1654,SEW34-2-1_21012019,150,"5177,238954",Sample,13/2/19 14:22,,-21.76,4390,1.35,0.10,,,
143207,1670,1995,2370,SEW34-2-2_21012019,150,"7655,851192",Sample,13/2/19 14:39,,-23.83,6619,1.35,,,,
143208,1648,1966,2339,SEW34-2-2_21012019,150,"7655,851192",Sample,13/2/19 14:45,,-23.89,6519,1.35,0.06,,,
143209,1378,1645,1956,SEW43-2-1_17122018,150,"6322,105576",Sample,13/2/19 14:50,,-24.51,5430,1.35,,,,
143210,1362,1625,1931,SEW43-2-1_17122018,150,"6322,105576",Sample,13/2/19 14:55,,-24.53,5360,1.35,0.02,,,
143212,1101,1314,1562,SEW43-2-2_17122018,150,"5255,856791",Sample,13/2/19 15:06,,-23.68,4270,1.35,,,,
143213,1084,1293,1537,SEW43-2-2_17122018,150,"5255,856791",Sample,13/2/19 15:11,,-23.60,4209,1.35,0.09,,,
143214,17,20,24,Blank_synt.Luft,200,0,Sample,13/2/19 15:17,Amplitude low,Blank OK,,1,,,,
143215,17,21,24,Blank_synt.Luft,200,0,Sample,13/2/19 15:22,Amplitude low,Blank OK,,1,,,,
143218,1122,1337,1594,GIL1.3,200,"4394,237936",Sample,13/2/19 15:39,,-25.21,3788,1,,,,
