Analysis No.,Ampl. 44,Ampl. 45,Ampl. 46,ID 1,ID 2,preparation,sample assignment,final time date,error  *,offset corr sample,dilution ,ppm,diff.abs.,Average,Standard- deviation,Rt     [s],,
Attention! Please note that values with Amplitude low can have a higher error bar.,,,,,,,,,,d13C,,,,,,,,
13617,4198,4977,5959,HEW22-1_Pre_moist,200,6538,Sample,9/9/19 15:16,,-26.17,1.00,5707,,,,391,,
13618,3576,4242,5081,HEW22-1_Pre_moist,200,6538,Sample,9/9/19 15:27,,-25.40,1.00,5390,0.77,-25.78,0.54,397,,
13619,4242,5107,6040,HEW22-2_Pre_moist,200,6728,Sample,9/9/19 15:40,,-25.65,1.00,5674,,,,460,,
13620,4293,5122,6109,HEW22-2_Pre_moist,200,6728,Sample,9/9/19 15:51,,-25.92,1.00,5694,0.27,-25.78,0.19,422,,
13622,2777,3283,3956,HEW41-1_Pre_moist,200,4304,Sample,9/9/19 16:13,,-26.52,1.00,3833,,,,387,,
13623,2687,3175,3823,HEW41-1_Pre_moist,200,4304,Sample,9/9/19 16:24,,-26.48,1.00,3748,0.03,-26.50,0.02,380,,
13624,2462,2924,3503,HEW41-2_Pre_moist,200,3994,Sample,9/9/19 16:37,,-26.13,1.00,3556,,,,444,,
13625,2680,3179,3812,HEW41-2_Pre_moist,200,3994,Sample,9/9/19 16:48,,-25.83,1.00,3573,0.30,-25.98,0.21,418,,
13628,1304,1537,1854,HEW42-1_Pre_moist,200,2045,Sample,9/9/19 17:21,,-25.48,1.00,1799,,,,376,,
13629,1064,1256,1513,HEW42-1_Pre_moist,200,2045,Sample,9/9/19 17:33,,-25.66,1.00,1690,0.18,-25.57,0.13,405,,
13630,1454,1718,2071,HEW42-2_Pre_moist,200,2152,Sample,9/9/19 17:45,,-26.57,1.00,1945,,,,422,,
13631,1433,1690,2040,HEW42-2_Pre_moist,200,2152,Sample,9/9/19 17:56,,-26.95,1.00,1943,0.38,-26.76,0.27,398,,
13633,5339,6319,7605,HEG10-1_Pre_moist,200,8639,Sample,9/9/19 18:18,,-27.88,1.00,7336,,,,375,,
13634,4744,5609,6750,HEG10-1_Pre_moist,200,8639,Sample,9/9/19 18:30,,-27.65,1.00,6967,0.23,-27.77,0.16,375,,
13635,5342,6390,7612,HEG10-2_Pre_moist,200,8554,Sample,9/9/19 18:42,,-27.79,1.00,7061,,,,425,,
13636,5314,6321,7568,HEG10-2_Pre_moist,200,8554,Sample,9/9/19 18:53,,-27.76,1.00,7032,0.03,-27.77,0.02,399,,
13639,5231,6181,7441,HEG32-1_Pre_moist,200,8250,Sample,9/9/19 19:27,,-27.96,1.00,7135,,,,371,,
13640,4473,5318,6367,HEG32-1_Pre_moist,200,8250,Sample,9/9/19 19:39,,-27.99,1.00,6681,0.03,-27.97,0.02,414,,
13641,5336,6353,7595,HEG32-2_Pre_moist,200,7896,Sample,9/9/19 19:50,,-27.73,1.00,7033,,,,409,,
13642,5258,6239,7483,HEG32-2_Pre_moist,200,7896,Sample,9/9/19 20:01,,-27.90,1.00,6993,0.17,-27.82,0.12,389,,
13644,5704,6746,8118,HEG48-1_Pre_moist,200,9091,Sample,9/9/19 20:24,,-27.93,1.00,7757,,,,372,,
13645,4742,5619,6749,HEG48-1_Pre_moist,200,9091,Sample,9/9/19 20:35,,-27.96,1.00,7267,0.02,-27.94,0.02,390,,
13646,5492,6555,7817,HEG48-2_Pre_moist,200,8684,Sample,9/9/19 20:47,,-27.24,1.00,7216,,,,416,,
13647,5393,6411,7698,HEG48-2_Pre_moist,200,8684,Sample,9/9/19 20:58,,-26.64,1.00,7199,0.60,-26.94,0.42,395,,
13650,1936,2254,2679,STD_2992_1,200,2992,Sample,9/9/19 21:32,,-38.35,1.00,2742,,,,372,,
13651,2040,2382,2819,STD_2992_1,200,2992,Sample,9/9/19 21:44,,-38.46,1.00,2697,0.11,-38.41,0.08,424,,
13652,2080,2428,2878,STD_2992_2,200,2992,Sample,9/9/19 21:56,,-38.46,1.00,2759,,,,401,,
13653,2034,2372,2817,STD_2992_2,200,2992,Sample,9/9/19 22:07,,-38.41,1.00,2739,0.05,-38.44,0.03,387,,
,,,,,,,,,,,,,,,Av,400,,
,,,,,,,,,,,,,,,Diff lowest-highest,89,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
