Analysis No.,Ampl. 44,Ampl. 45,Ampl. 46,ID 1,ID 2,preparation,sample assignment,final time date,error  *,offset corr sample,dilution ,ppm,diff.abs.,Average,Standard- deviation,,,
Attention! Please note that values with Amplitude low can have a higher error bar.,,,,,,,,,,d13C,,,,,,,,
13670,4833,5732,6886,HEG10-1_Inc_moist,100,10891,Sample,10/9/19 13:46,,-28.74,2.06,10358,,,,,,
13671,4823,5761,6871,HEG10-1_Inc_moist,100,10891,Sample,10/9/19 13:58,,-28.64,2.06,10197,0.10,,,,,
13672,4644,5531,6621,HEG10-2_Inc_moist,100,10822,Sample,10/9/19 14:09,,-28.81,2.06,9794,,,,,,
13673,4621,5485,6587,HEG10-2_Inc_moist,100,10822,Sample,10/9/19 14:20,,-28.70,2.06,9784,0.11,-28.72,0.07,,,
13675,4544,5428,6462,HEG32-1_Inc_moist,100,9737,Sample,10/9/19 14:43,,-28.95,2.06,9976,,,,,,
13676,4768,5694,6787,HEG32-1_Inc_moist,100,9737,Sample,10/9/19 14:55,,-28.69,2.06,10088,0.26,,,,,
13677,4649,5523,6622,HEG32-2_Inc_moist,100,10558,Sample,10/9/19 15:06,,-28.36,2.06,9844,,,,,,
13678,4628,5487,6588,HEG32-2_Inc_moist,100,10558,Sample,10/9/19 15:17,,-28.26,2.06,9838,0.10,-28.56,0.32,,,
13681,4694,5586,6704,HEG48-1_Inc_moist,100,10980,Sample,10/9/19 15:52,,-28.53,2.06,9930,,,,,,
13682,4708,5586,6691,HEG48-1_Inc_moist,100,10980,Sample,10/9/19 16:03,,-28.73,2.06,9999,0.20,,,,,
13683,4452,5273,6333,HEG48-2_Inc_moist,100,10380,Sample,10/9/19 16:14,,-28.26,2.06,9480,,,,,,
13684,4136,4893,5877,HEG48-2_Inc_moist,100,10380,Sample,10/9/19 16:25,,-28.83,2.06,9234,0.57,-28.59,0.25,,,
13686,2141,2492,2962,STD_2992_1_06092019,200,2992,Sample,10/9/19 16:49,,-38.53,1.00,2957,,,,,,
13687,2119,2464,2931,STD_2992_1_06092019,200,2992,Sample,10/9/19 17:00,,-38.41,1.00,2935,0.12,,,,,
13688,2152,2506,2981,STD_2992_2_06092019,200,2992,Sample,10/9/19 17:11,,-38.95,1.00,2973,,,,,,
13689,1908,2220,2639,STD_2992_2_06092019,200,2992,Sample,10/9/19 17:23,,-38.68,1.00,2844,0.26,-38.64,0.23,,,
13692,4353,5182,6211,HEW22-1_Inc_moist_09092019,100,9724,Sample,10/9/19 17:57,,-26.15,2.06,9247,,,,,,
13693,4229,5024,6022,HEW22-1_Inc_moist_09092019,100,9724,Sample,10/9/19 18:08,,-26.40,2.06,9096,0.25,,,,,
13694,4734,5671,6734,HEW22-2_Inc_moist_09092019,100,10505,Sample,10/9/19 18:20,,-26.75,2.06,10008,,,,,,
13695,4748,5666,6757,HEW22-2_Inc_moist_09092019,100,10505,Sample,10/9/19 18:31,,-26.69,2.06,10036,0.06,-26.50,0.28,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Analysis No.,Ampl. 44,Ampl. 45,Ampl. 46,ID 1,ID 2,preparation,sample assignment,final time date,error  *,offset corr sample,dilution ,ppm,diff.abs.,Rt,,,,
13664,2113,2526,2979,RAMONA2,200,RAMONA2,Standard1,10/9/19 12:38,,-9.05,1.00,2893,,368,,,,
13665,2116,2535,2989,RAMONA2,200,RAMONA2,Standard1,10/9/19 12:49,,-8.81,1.00,2908,0.24,359,,,,
13666,2083,2493,2938,RAMONA2,200,RAMONA2,Standard1,10/9/19 13:00,,-8.92,1.00,2900,0.10,353,,,,
13667,2102,2519,2966,RAMONA2,200,RAMONA2,Standard1,10/9/19 13:12,,-9.14,1.00,2878,0.22,381,,,,
13668,2118,2535,2989,RAMONA2,200,RAMONA2,Standard1,10/9/19 13:24,,-9.01,1.00,2897,0.13,370,,,,
13669,2118,2539,2993,RAMONA2,200,RAMONA2,Standard1,10/9/19 13:35,,-9.03,1.00,2915,0.02,361,,,,
13674,2107,2523,2973,RAMONA2,200,RAMONA2,Standard2,10/9/19 14:32,,-8.96,1.00,2915,,355,,,,
13679,1982,2374,2798,RAMONA2,200,RAMONA2,Standard1,10/9/19 15:29,,-8.76,1.00,2857,,356,,,,
13680,2099,2517,2960,RAMONA2,200,RAMONA2,Standard1,10/9/19 15:41,,-8.83,1.00,2861,0.07,390,,,,
13685,2101,2521,2968,RAMONA2,200,RAMONA2,Standard2,10/9/19 16:37,,-8.94,1.00,2872,,385,,,,
13690,2097,2519,2970,RAMONA2,200,RAMONA2,Standard1,10/9/19 17:34,,-7.93,1.00,2881,,379,,,,
13691,2110,2528,2979,RAMONA2,200,RAMONA2,Standard1,10/9/19 17:46,,-9.12,1.00,2913,1.20,369,,,,
13696,2107,2525,2975,RAMONA2,200,RAMONA2,Standard2,10/9/19 18:43,,-8.91,1.00,2923,,363,,,,
13697,1962,2351,2772,RAMONA2,200,RAMONA2,Standard1,10/9/19 18:54,,-9.38,1.00,2857,0.47,360,,,,
13698,2094,2512,2959,RAMONA2,200,RAMONA2,Standard1,10/9/19 19:06,,-9.37,1.00,2880,0.00,380,,,,
13699,2111,2532,2985,RAMONA2,200,RAMONA2,Standard1,10/9/19 19:17,,-8.57,1.00,2924,0.80,369,,,,
