Analysis No.,Ampl. 44,Ampl. 45,Ampl. 46,ID 1,ID 2,preparation,sample assignment,final time date,error  *,offset corr sample,dilution ,ppm,diff.abs.,,,,,
Attention! Please note that values with Amplitude low can have a higher error bar.,,,,,,,,,,d13C,,,,,,,,
17515,3212,3824,4561,1,100,1_HEW22-1_dry_22112019,Sample,26/11/19 15:29,,-23.78,2.08,7439,,,,,,
17516,3242,3859,4608,1,100,1_HEW22-1_dry_22112019,Sample,26/11/19 15:38,,-23.79,2.08,7481,0.01,,,,,
17517,3841,4560,5452,2,100,2_HEW22-2_dry_22112019,Sample,26/11/19 15:47,,-24.67,2.08,8921,,,,,,
17518,3843,4563,5464,2,100,2_HEW22-2_dry_22112019,Sample,26/11/19 15:56,,-24.73,2.08,8955,0.06,,,,,
17520,3571,4257,5069,3,100,3_HEW41-1_dry_22112019,Sample,26/11/19 16:15,,-23.66,2.08,8390,,,,,,
17521,3649,4348,5186,3,100,3_HEW41-1_dry_22112019,Sample,26/11/19 16:24,,-23.70,2.08,8435,0.04,,,,,
17522,4416,5259,6270,4,100,4_HEW41-2_dry_22112019,Sample,26/11/19 16:33,,-24.26,2.08,10283,,,,,,
17523,4417,5254,6269,4,100,4_HEW41-2_dry_22112019,Sample,26/11/19 16:42,,-24.16,2.08,10312,0.10,,,,,
17526,2809,3332,3986,5,100,5_HEW42-1_dry_22112019,Sample,26/11/19 17:10,,-25.69,2.08,6492,,,,,,
17527,2835,3358,4024,5,100,5_HEW42-1_dry_22112019,Sample,26/11/19 17:19,,-25.73,2.08,6557,0.04,,,,,
17528,2834,3358,4024,6,100,6_HEW42-2_dry_22112019,Sample,26/11/19 17:28,,-25.16,2.08,6590,,,,,,
17529,2842,3361,4033,6,100,6_HEW42-2_dry_22112019,Sample,26/11/19 17:37,,-25.28,2.08,6631,0.12,,,,,
17531,2653,3155,3767,7,50,7_HEG10-1_dry_22112019,Sample,26/11/19 17:55,,-27.75,4.52,11959,,,,,,
17532,2719,3228,3858,7,50,7_HEG10-1_dry_22112019,Sample,26/11/19 18:04,,-27.71,4.52,12055,0.04,,,,,
17533,2166,2564,3075,8,50,8_HEG10-2_dry_22112019,Sample,26/11/19 18:13,,-26.80,4.52,9566,,,,,,
17534,2171,2568,3083,8,50,8_HEG10-2_dry_22112019,Sample,26/11/19 18:22,,-26.76,4.52,9661,0.04,,,,,
17537,3482,4150,4942,9,50,9_HEG32-1_dry_22112019,Sample,26/11/19 18:50,,-27.50,4.52,15404,,,,,,
17538,3499,4166,4968,9,50,9_HEG32-1_dry_22112019,Sample,26/11/19 18:59,,-27.63,4.52,15583,0.13,,,,,
17539,3077,3648,4367,10,50,10_HEG32-2_dry_22112019,Sample,26/11/19 19:08,,-27.90,4.52,13673,,,,,,
17540,3076,3644,4369,10,50,10_HEG32-2_dry_22112019,Sample,26/11/19 19:17,,-27.89,4.52,13701,0.02,,,,,
17542,3082,3672,4375,11,50,11_HEG48-1_dry_22112019,Sample,26/11/19 19:36,,-27.52,4.52,13805,,,,,,
17543,3141,3741,4464,11,50,11_HEG48-1_dry_22112019,Sample,26/11/19 19:45,,-27.50,4.52,13885,0.02,,,,,
17544,2955,3505,4193,12,50,12_HEG48-2_dry_22112019,Sample,26/11/19 19:54,,-27.49,4.52,13094,,,,,,
17545,2960,3509,4203,12,50,12_HEG48-2_dry_22112019,Sample,26/11/19 20:03,,-27.49,4.52,13163,0.01,,,,,
17548,2059,2396,2845,13,200,13_Std_flushed_22112019,Sample,26/11/19 20:31,,-38.78,1.00,2960,,,,,,
17549,2066,2404,2855,13,200,13_Std_flushed_22112019,Sample,26/11/19 20:40,,-38.71,1.00,2974,0.06,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
