Analysis No.,Ampl. 44,Ampl. 45,Ampl. 46,ID 1,ID 2,preparation,sample assignment,final time date,error  *,offset corr sample,dilution ,ppm,diff.abs.,,,,,
Attention! Please note that values with Amplitude low can have a higher error bar.,,,,,,,,,,d13C,,,,,,,,
17306,2996,3562,4258,27,50,27_HEW22-1_dry_15112019,Sample,20/11/19 4:38,,-24.01,4.52,12973,,,,,,
17307,2731,3251,3881,27,50,27_HEW22-1_dry_15112019,Sample,20/11/19 4:47,,-23.97,4.52,12582,0.04,27_HEW22-1_dry_15112019,-23.99,1,,
17308,3356,4013,4772,28,50,28_HEW22-2_dry_15112019,Sample,20/11/19 4:56,,-24.73,4.52,14505,,,-24.69,2,,
17309,3385,4034,4814,28,50,28_HEW22-2_dry_15112019,Sample,20/11/19 5:05,,-24.66,4.52,14609,0.07,28_HEW22-2_dry_15112019,-23.66,3,,
17311,2435,2890,3463,29,50,29_HEW41-1_dry_15112019,Sample,20/11/19 5:23,,-23.60,4.52,10555,,,-24.32,4,,
17312,2282,2706,3238,29,50,29_HEW41-1_dry_15112019,Sample,20/11/19 5:33,,-23.73,4.52,10285,0.12,29_HEW41-1_dry_15112019,-25.32,5,,
17313,2751,3283,3911,30,50,30_HEW41-2_dry_15112019,Sample,20/11/19 5:42,,-24.28,4.52,11870,,,-25.40,6,,
17314,2764,3293,3930,30,50,30_HEW41-2_dry_15112019,Sample,20/11/19 5:51,,-24.36,4.52,11906,0.08,30_HEW41-2_dry_15112019,-28.16,7,,
17317,1836,2170,2606,31,50,31_HEW42-1_dry_15112019,Sample,20/11/19 6:18,,-25.21,4.52,8028,,,-27.67,8,,
17318,1836,2176,2604,31,50,31_HEW42-1_dry_15112019,Sample,20/11/19 6:28,,-25.43,4.52,7976,0.22,31_HEW42-1_dry_15112019,-27.01,9,,
17319,1866,2215,2657,32,50,32_HEW42-2_dry_15112019,Sample,20/11/19 6:37,,-25.50,4.52,8011,,,-27.37,10,,
17320,1881,2235,2686,32,50,32_HEW42-2_dry_15112019,Sample,20/11/19 6:46,,-25.30,4.52,8104,0.20,32_HEW42-2_dry_15112019,-27.27,11,,
17322,4276,5082,6081,33,50,33_HEG10-1_dry_15112019,Sample,20/11/19 7:04,,-28.35,4.52,18770,,,-27.57,12,,
17323,4137,4915,5887,33,50,33_HEG10-1_dry_15112019,Sample,20/11/19 7:13,,-27.97,4.52,18416,0.38,33_HEG10-1_dry_15112019,,,,
17324,3651,4359,5189,34,50,34_HEG10-2_dry_15112019,Sample,20/11/19 7:23,,-27.74,4.52,16072,,,,,,
17325,3736,4456,5312,34,50,34_HEG10-2_dry_15112019,Sample,20/11/19 7:32,,-27.60,4.52,16302,0.13,34_HEG10-2_dry_15112019,,,,
17328,4500,5360,6391,35,50,35_HEG32-1_dry_15112019,Sample,20/11/19 7:59,,-27.10,4.52,20365,,,,,,
17329,4647,5587,6609,35,50,35_HEG32-1_dry_15112019,Sample,20/11/19 8:08,,-26.92,4.52,20489,0.19,35_HEG32-1_dry_15112019,,,,
17330,4924,5899,6989,36,50,36_HEG32-2_dry_15112019,Sample,20/11/19 8:17,,-27.34,4.52,21564,,,,,,
17331,4934,5901,7014,36,50,36_HEG32-2_dry_15112019,Sample,20/11/19 8:26,,-27.40,4.52,21630,0.07,36_HEG32-2_dry_15112019,,,,
17333,4068,4833,5779,37,50,37_HEG48-1_dry_15112019,Sample,20/11/19 8:45,,-27.03,4.52,17789,,,,,,
17334,3891,4653,5530,37,50,37_HEG48-1_dry_15112019,Sample,20/11/19 8:54,,-27.50,4.52,17291,0.47,37_HEG48-1_dry_15112019,,,,
17335,4022,4807,5721,38,50,38_HEG48-2_dry_15112019,Sample,20/11/19 9:03,,-27.64,4.52,17425,,,,,,
17336,4010,4779,5700,38,50,38_HEG48-2_dry_15112019,Sample,20/11/19 9:12,,-27.51,4.52,17428,0.13,38_HEG48-2_dry_15112019,,,,
17339,1950,2269,2697,39,200,39_Std_flushed_15112019,Sample,20/11/19 9:40,,-38.76,1.00,2881,,,,,,
17340,2078,2420,2877,39,200,39_Std_flushed_15112019,Sample,20/11/19 9:49,,-38.91,1.00,2925,0.15,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
