EP_Plotid,Plotid,Exploratory,Type,Total_C,Inorganic_C,Organic_C,Total_N,CN_ratio
AEG22,A45310,A,G,53.56,0,53.56,4.798,11.16
AEG35,A11495,A,G,39.54,0,39.54,4.032,9.81
AEG38,A32042,A,G,49.45,0,49.45,5.128,9.64
HEG20,H30205,H,G,27.23,0,27.23,2.335,11.66
HEG33,H20508,H,G,40.08,0,40.08,3.835,10.45
HEG6,H30409,H,G,20.77,0,20.77,2.01,10.33
HEW12,H22701,H,F,20.93,0,20.93,1.559,13.43
HEW15,H87,H,F,20.86,0,20.86,1.287,16.21
HEW17,H130,H,F,27.28,0,27.28,1.789,15.25
HEW22,H551,H,F,23.33,0,23.33,1.673,13.95
HEW26,H313,H,F,24.42,0,24.42,1.633,14.95
HEW29,H71407,H,F,25.9,0,25.9,1.857,13.95
HEW41,H22709,H,F,24.25,0,24.25,1.935,12.53
HEW42,H23819,H,F,23.41,0,23.41,1.632,14.34
HEW47,H68,H,F,32.51,0,32.51,2.434,13.36
HEW48,H70517,H,F,26.65,0,26.65,2.016,13.22
HEW49,H71125,H,F,23.82,0,23.82,1.606,14.83
SEG18,S1039,S,G,14.87,0,14.87,1.208,12.31
SEG32,S701,S,G,24.18,0,24.18,2.301,10.51
SEG33,S732,S,G,18.22,0,18.22,1.75,10.41
SEG34,S738,S,G,18.41,0,18.41,1.738,10.59
SEG35,S770,S,G,22.83,0,22.83,2.149,10.62
SEG37,S1036,S,G,12.22,0,12.22,1.163,10.51
SEG38,S1044,S,G,22.82,0,22.82,2.18,10.47
SEG40,S850,S,G,21.3,0,21.3,2.029,10.5
SEG41,S974,S,G,20.73,0,20.73,1.989,10.42
SEG42,S1045,S,G,18.64,0,18.64,1.852,10.06
SEG44,S1047,S,G,21.83,0,21.83,2.149,10.16
SEG45,S1048,S,G,18.91,0,18.91,1.851,10.22
SEG46,S779,S,G,24.3,0,24.3,2.295,10.59
SEG49,S1033,S,G,20.98,0,20.98,1.967,10.67
SEG50,S1052,S,G,23.05,0,23.05,2.125,10.85
SEW1,S5110,S,F,18.6,0,18.6,0.801,23.22
SEW10,S5073,S,F,18.31,0,18.31,1.02,17.95
SEW11,S5075,S,F,31.32,0,31.32,1.314,23.84
SEW12,S5094,S,F,20.76,0,20.76,0.789,26.31
SEW13,S154,S,F,26.57,0,26.57,1.293,20.55
SEW14,S5098,S,F,25.28,0,25.28,1.434,17.63
SEW15,S5102,S,F,10.68,0,10.68,0.545,19.6
SEW16,S260,S,F,19.44,0,19.44,1.063,18.29
SEW17,S5001,S,F,21.75,0,21.75,0.922,23.59
SEW18,S5051,S,F,31.35,0,31.35,1.427,21.97
SEW19,S5070,S,F,6.337,0,6.337,0.314,20.18
SEW2,S5090,S,F,20.56,0,20.56,1.204,17.08
SEW20,S5074,S,F,16.34,0,16.34,0.692,23.61
SEW21,S5101,S,F,25.43,0,25.43,1.366,18.62
SEW22,S213,S,F,23.37,0,23.37,1.308,17.87
SEW23,S5089,S,F,19.62,0,19.62,1.298,15.12
SEW24,S5092,S,F,18.17,0,18.17,1.15,15.8
SEW25,S5095,S,F,20.69,0,20.69,1.316,15.72
SEW26,S5100,S,F,17.62,0,17.62,1.16,15.19
SEW27,S5105,S,F,18.2,0,18.2,1.142,15.94
SEW28,S5107,S,F,24.27,0,24.27,1.643,14.77
SEW29,S156,S,F,12.02,0,12.02,0.548,21.93
SEW3,S5112,S,F,20.54,0,20.54,1.034,19.86
SEW30,S217,S,F,26.81,0,26.81,1.162,23.07
SEW31,S5116,S,F,20.53,0,20.53,1.059,19.39
SEW32,S292,S,F,28.55,0,28.55,1.443,19.79
SEW33,S5038,S,F,12.55,0,12.55,0.502,25
SEW34,S5108,S,F,16.44,0,16.44,0.74,22.22
SEW35,S475,S,F,20.64,0,20.64,1.096,18.83
SEW36,S5086,S,F,30.36,0,30.36,1.758,17.27
SEW37,S5091,S,F,21.34,0,21.34,1.257,16.98
SEW38,S5104,S,F,21.87,0,21.87,1.369,15.98
SEW39,S384,S,F,18.94,0,18.94,1.067,17.75
SEW4,S467,S,F,24.63,0,24.63,1.186,20.77
SEW40,S391,S,F,18.97,0,18.97,1.069,17.75
SEW41,S397,S,F,17.59,0,17.59,0.927,18.98
SEW42,S414,S,F,23.2,0,23.2,1.376,16.86
SEW43,S421,S,F,18.41,0,18.41,1.116,16.5
SEW44,S488,S,F,17.32,0,17.32,0.937,18.48
SEW45,S353,S,F,16.51,0,16.51,0.921,17.93
SEW46,S5060,S,F,21.2,0,21.2,1.335,15.88
SEW47,S5063,S,F,23.5,0,23.5,1.333,17.63
SEW48,S360,S,F,19.33,0,19.33,1.174,16.47
SEW49,S438,S,F,21.39,0,21.39,1.154,18.54
SEW5,S219,S,F,25.04,0,25.04,1.292,19.38
SEW50,S5117,S,F,16.73,0,16.73,1.04,16.09
SEW6,S5111,S,F,25.87,0,25.87,1.487,17.4
SEW7,S5106,S,F,18.65,0,18.65,1.145,16.29
SEW8,S5113,S,F,27.09,0,27.09,1.638,16.54
SEW9,S5114,S,F,20.01,0,20.01,1.043,19.19
AEW6,A35255,A,F,39.78,0.193,39.58,3.212,12.32
AEG45,A37099,A,G,55.07,0.202,54.86,5.717,9.6
AEW5,A30591,A,F,48.61,0.208,48.4,3.728,12.98
HEG32,H20106,H,G,40.19,0.215,39.97,3.791,10.54
AEW26,A34057,A,F,47.45,0.216,47.24,3.872,12.2
AEW7,A7321,A,F,62.64,0.218,62.42,4.782,13.05
HEW46,H238,H,F,37.14,0.218,36.92,2.905,12.71
AEW43,A25044,A,F,37.01,0.221,36.79,3.324,11.07
AEG4,A31160,A,G,44.53,0.222,44.31,4.832,9.17
HEW7,H71011,H,F,28.98,0.222,28.76,2.061,13.95
AEW18,A4246,A,F,35.96,0.223,35.73,2.809,12.72
HEW23,H104,H,F,34.49,0.223,34.27,2.727,12.57
HEW6,H150,H,F,22.88,0.224,22.66,1.818,12.46
AEG46,A33626,A,G,71.91,0.227,71.68,7.254,9.88
HEW33,H38964,H,F,27.93,0.227,27.7,1.954,14.18
AEW2,A20965,A,F,53.26,0.228,53.03,3.811,13.91
HEW37,H12905,H,F,31.8,0.231,31.57,2.502,12.62
HEW18,H637,H,F,35.14,0.233,34.91,2.687,12.99
HEW50,H12504,H,F,33.56,0.234,33.32,2.796,11.92
AEW1,A18422,A,F,56.53,0.238,56.29,3.667,15.35
AEW10,A27281,A,F,57.48,0.239,57.24,4.244,13.49
AEW29,A21785,A,F,51.6,0.241,51.36,3.688,13.93
AEW11,A16193,A,F,54.13,0.242,53.89,3.571,15.09
HEW36,H10804,H,F,37.76,0.243,37.52,2.921,12.84
AEW25,A31470,A,F,39.19,0.244,38.95,3.017,12.91
HEW32,H72920,H,F,36.27,0.245,36.02,2.805,12.84
HEW39,H13939,H,F,31.88,0.246,31.63,2.502,12.64
HEW25,H304,H,F,39.61,0.25,39.35,3.089,12.74
HEW34,H1192,H,F,38.01,0.253,37.75,3.188,11.84
AEG32,A41172,A,G,42.05,0.255,41.79,3.926,10.64
HEW16,H58,H,F,33.26,0.255,33.01,2.725,12.11
AEW14,A18920,A,F,42.17,0.265,41.9,3.27,12.81
AEG49,A43953,A,G,50.14,0.268,49.87,4.813,10.36
AEW13,A28098,A,F,63.93,0.268,63.67,4.286,14.86
HEW35,H9686,H,F,36.45,0.268,36.18,2.908,12.44
AEG33,A41959,A,G,49.21,0.275,48.93,4.609,10.62
AEG15,A35767,A,G,63.9,0.276,63.62,6.51,9.77
AEW19,A14961,A,F,60.17,0.276,59.89,4.957,12.08
HEW8,H311,H,F,27.87,0.277,27.59,1.98,13.93
AEG41,A28088,A,G,44.56,0.278,44.28,4.312,10.27
HEW9,H71310,H,F,30.24,0.278,29.97,2.343,12.79
AEG3,A48112,A,G,59.81,0.279,59.53,5.828,10.21
HEW19,H32,H,F,31.94,0.283,31.66,2.775,11.41
AEW46,A22196,A,F,53.51,0.284,53.22,4.14,12.86
AEW12,A5863,A,F,60.44,0.287,60.16,4.571,13.16
HEW30,H71515,H,F,33.78,0.292,33.48,2.663,12.57
AEW28,A13956,A,F,61.57,0.293,61.28,4.803,12.76
SEG36,S1035,S,G,24.58,0.294,24.28,2.405,10.1
AEW24,A12513,A,F,57.54,0.296,57.25,4.388,13.05
HEG10,H22151,H,G,44.03,0.296,43.74,4.01,10.91
SEG43,S1046,S,G,19.81,0.298,19.51,1.927,10.12
AEG29,A22026,A,G,53.67,0.303,53.37,5.169,10.33
HEW11,H8568,H,F,37.62,0.303,37.32,3.02,12.36
AEG11,A20470,A,G,62.91,0.305,62.61,6.023,10.4
AEG28,A42175,A,G,54.34,0.305,54.04,4.829,11.19
AEG50,A38525,A,G,68.98,0.307,68.68,6.763,10.16
HEW21,H20,H,F,29.44,0.313,29.13,2.336,12.47
SEG47,S801,S,G,23.34,0.315,23.03,2.182,10.55
AEG39,A32195,A,G,66.41,0.316,66.09,6.276,10.53
AEW34,A42708,A,F,70.84,0.323,70.51,5.146,13.7
HEW31,H71623,H,F,33.36,0.323,33.04,2.617,12.63
HEW10,H1363,H,F,50.88,0.325,50.55,4.043,12.5
HEW3,H303,H,F,43.33,0.326,43,2.722,15.8
AEG34,A43366,A,G,46.23,0.328,45.9,4.72,9.72
AEW40,A20690,A,F,75.7,0.331,75.36,6.576,11.46
HEG14,H19568,H,G,39.21,0.331,38.88,3.614,10.76
AEG21,A21850,A,G,67.75,0.335,67.42,6.756,9.98
SEG31,S698,S,G,28.79,0.359,28.43,2.64,10.77
HEW38,H13104,H,F,53.04,0.372,52.67,4.038,13.04
AEW23,A41483,A,F,58.19,0.379,57.81,4.654,12.42
